band,channel,statistic,p_value,p_value_corrected,significant
alpha,6Z,125.0,0.49079859256744385,0.612674753137883,False
alpha,7Z,129.0,0.5645889043807983,0.6563346013426781,False
alpha,8Z,135.0,0.6839864253997803,0.7311579030135583,False
alpha,9Z,128.0,0.5456695556640625,0.6423704895792128,False
alpha,1L,100.0,0.15998530387878418,0.36289349416407146,False
alpha,2L,83.0,0.05642664432525635,0.23853081464767456,False
alpha,3L,107.0,0.22918963432312012,0.4021629432462296,False
alpha,4L,118.0,0.37475037574768066,0.4978826420647757,False
alpha,5L,112.0,0.28966712951660156,0.43450069427490234,False
alpha,6L,116.0,0.344876766204834,0.4859627160159024,False
alpha,7L,122.0,0.4389305114746094,0.5591854461251873,False
alpha,8L,134.0,0.6634435653686523,0.7216403693483587,False
alpha,9L,97.0,0.1355280876159668,0.340651679683376,False
alpha,10L,133.0,0.6431422233581543,0.7036732561448041,False
alpha,1R,56.0,0.005897641181945801,0.0997237508947199,False
alpha,2R,73.0,0.026927709579467773,0.1669517993927002,False
alpha,3R,106.0,0.21821892261505127,0.39792862359215236,False
alpha,4R,98.0,0.14335036277770996,0.34183548046992374,False
alpha,5R,86.0,0.06910169124603271,0.25201793277964873,False
alpha,6R,111.0,0.27681541442871094,0.43450069427490234,False
alpha,7R,133.0,0.6431422233581543,0.7036732561448041,False
alpha,8R,88.0,0.07872927188873291,0.27629518059064756,False
alpha,9R,136.0,0.704756498336792,0.7447994811968369,False
alpha,10R,116.0,0.344876766204834,0.4859627160159024,False
alpha,1LA,86.0,0.06910169124603271,0.25201793277964873,False
alpha,2LA,103.0,0.18750131130218506,0.3832444384857848,False
alpha,3LA,101.0,0.1688096523284912,0.3693952392129337,False
alpha,1LB,104.0,0.19737839698791504,0.3905572536143851,False
alpha,2LB,73.0,0.026927709579467773,0.1669517993927002,False
alpha,3LB,76.0,0.033985137939453125,0.18591869578642004,False
alpha,4LB,43.0,0.0013997554779052734,0.09942094484965007,False
alpha,5LB,87.0,0.07379257678985596,0.263950370825254,False
alpha,1LC,120.0,0.40611207485198975,0.5245614300171534,False
alpha,2LC,86.0,0.06910169124603271,0.25201793277964873,False
alpha,3LC,100.0,0.15998530387878418,0.36289349416407146,False
alpha,4LC,68.0,0.017870306968688965,0.16437295350161465,False
alpha,5LC,119.0,0.3902466297149658,0.507593518370515,False
alpha,1LD,127.0,0.5270590782165527,0.6244139397979541,False
alpha,2LD,107.0,0.22918963432312012,0.4021629432462296,False
alpha,3LD,90.0,0.08937323093414307,0.30224401734092016,False
alpha,4LD,113.0,0.30289924144744873,0.45071407127380375,False
alpha,1RA,56.0,0.005897641181945801,0.0997237508947199,False
alpha,2RA,81.0,0.04906117916107178,0.2331235238483974,False
alpha,3RA,118.0,0.37475037574768066,0.4978826420647757,False
alpha,1RB,54.0,0.004810690879821777,0.09942094484965007,False
alpha,2RB,112.0,0.28966712951660156,0.43450069427490234,False
alpha,3RB,72.0,0.024863600730895996,0.16516534771238053,False
alpha,4RB,109.0,0.2522493600845337,0.4265307361429388,False
alpha,5RB,111.0,0.27681541442871094,0.43450069427490234,False
alpha,1RC,119.0,0.3902466297149658,0.507593518370515,False
alpha,2RC,74.0,0.029131293296813965,0.16932564228773117,False
