participant,band,channel,statistic,p_value,p_value_corrected,significant
19,theta,4R,-0.5918938289501181,0.5542284728868127,0.5993400927729486,False
19,theta,5R,-1.8583914189500221,0.06378717439728278,0.08535549955319854,False
19,theta,6R,-16.53227538772123,5.157484477996738e-48,1.0658801254526592e-46,True
19,theta,7R,-18.42015095706967,1.8345406837612385e-56,1.1374152239319678e-54,True
19,theta,8R,-17.69711943777135,3.290212501342559e-53,1.2239590504994319e-51,True
19,theta,9R,-15.133785628469953,6.918465696839096e-42,9.191675854371941e-41,True
19,theta,10R,-9.398106799897958,3.1563174652368324e-19,1.3046112189645573e-18,True
19,theta,1LA,-1.5593201433187782,0.1196461614078549,0.147378715376563,False
19,theta,2LA,1.1013689372213558,0.2713437571723878,0.3154371177129008,False
19,theta,3LA,-9.501080212666238,1.395074414868291e-19,6.034507934081445e-19,True
19,theta,1LB,-2.9073300898142738,0.003831277675492813,0.006306350864085515,True
19,theta,2LB,2.671629728883735,0.007831055690407603,0.012037821143932348,True
19,theta,3LB,1.7260483627125598,0.08504715387120278,0.10909496979340494,False
19,theta,4LB,-3.4231206726202394,0.0006775521603707249,0.0011889122814052343,True
19,theta,5LB,-8.19382118095248,2.8393426454875236e-15,9.779958001123691e-15,True
19,theta,1LC,-2.747005768690435,0.00626338583741859,0.009797420108867904,True
19,theta,2LC,5.612325937729028,3.555802478076159e-08,9.059989875646106e-08,True
19,theta,3LC,0.49482824377962337,0.6209706205092647,0.6600030595127041,False
19,theta,4LC,-5.5031588152012265,6.37512415159308e-08,1.5399650548004063e-07,True
19,theta,5LC,-9.921028460411232,4.714852943814892e-21,2.3077964409199205e-20,True
19,theta,1LD,5.806039868426559,1.2334557309500069e-08,3.186427304954184e-08,True
19,theta,2LD,4.766911116511575,2.553528999790548e-06,5.52274876698886e-06,True
19,theta,3LD,-4.224855132368721,2.913059887608063e-05,5.5858674133515435e-05,True
19,theta,4LD,-10.653952903084928,1.0342720346400316e-23,5.658076424795467e-23,True
19,theta,1RA,-1.77043274405782,0.07735379958200221,0.09991532446008619,False
19,theta,2RA,-2.5092165421805053,0.012461585326061925,0.018692377989092887,True
19,theta,3RA,-14.38956921170544,1.0845124290371244e-38,1.0616805884258165e-37,True
19,theta,1RB,0.025159656697495536,0.9799391269908718,0.9852360952448765,False
