band,channel,coef,p_value,p_value_corrected,significant
theta,1LA,-0.00010548537213976946,0.050438904998542554,0.24491792079115518,False
theta,2LA,-6.189454638987138e-05,0.100288842704925,0.2752510840230162,False
theta,3LA,-7.205150695235162e-05,0.058174570408669066,0.24491792079115518,False
theta,1LB,-5.567532023876977e-05,0.1871275590957282,0.36206550993229347,False
theta,2LB,-7.54151605707061e-05,0.029347017922410904,0.19494804762744386,False
theta,3LB,-7.4427537405188e-05,0.018130320646299047,0.15865350788961874,False
theta,4LB,-0.0001283409946711606,3.2540906334190576e-05,0.006052608578159447,True
theta,5LB,-0.0001018460035718073,0.012352757587178282,0.1436008069509475,False
theta,1LC,-5.467547118372123e-05,0.3500711187691403,0.4431361137314118,False
theta,2LC,-5.976548690487922e-05,0.0861444950775425,0.25970257508919325,False
theta,3LC,-6.370128161300544e-05,0.1304913580991475,0.3072328178030561,False
theta,4LC,-9.185983535137651e-05,0.007174911949478517,0.1183071740375051,False
theta,5LC,-7.041765234718351e-05,0.13240753794505603,0.30784752572225527,False
theta,1LD,-4.98494907860478e-05,0.32615144903527926,0.430242337025262,False
theta,2LD,-6.374623287064086e-05,0.14428488236724968,0.3233372062687764,False
theta,3LD,-7.27172269196572e-05,0.028974110280879917,0.19494804762744386,False
theta,4LD,-8.660955576790939e-05,0.06899794079050366,0.2566723397406736,False
theta,1RA,-0.00014265411452776507,0.0008603099732357746,0.03425709591893347,True
theta,2RA,-6.06100951067083e-05,0.12146890093040665,0.3012428743074085,False
theta,3RA,-4.476144357624247e-05,0.21364750541287503,0.37138725239995096,False
theta,1RB,-0.0001305474677979241,0.0011050676102881765,0.03425709591893347,True
theta,2RB,-5.1259292995527144e-05,0.2550243282073714,0.3952877087214257,False
theta,3RB,-7.422163468868474e-05,0.011149106498145607,0.1436008069509475,False
theta,4RB,-3.9342178341914306e-05,0.16087887139967827,0.33646120219565534,False
theta,5RB,-6.459262405407485e-05,0.07371786309764385,0.25970257508919325,False
theta,1RC,-5.762298309244307e-05,0.21193544970563793,0.37138725239995096,False
theta,2RC,-8.120005360566454e-05,0.007929154545281212,0.1183071740375051,False
theta,3RC,-5.899234140070949e-05,0.02144847350118931,0.17345287266179182,False
theta,4RC,-6.755293063052874e-05,0.0444219722533462,0.24301431879771745,False
theta,5RC,-7.155406573722506e-05,0.1257820813255989,0.3036465019956643,False
theta,1RD,-1.6776562800094065e-05,0.588403576610423,0.6346370643615667,False
theta,2RD,-6.132111191173447e-05,0.029176515635697352,0.19494804762744386,False
theta,3RD,2.7835009725246224e-06,0.9296205151913701,0.9500517353054662,False
theta,4RD,-2.3135661086358684e-05,0.5242140629744143,0.594535461666104,False
alpha,1Z,-7.05883497514538e-05,0.03342325671005934,0.20053954026035606,False
alpha,2Z,-8.056528926478714e-05,0.1528573386070866,0.33059843001067574,False
alpha,3Z,-9.801566186076014e-05,0.04405155340934148,0.24301431879771745,False
alpha,4Z,-4.275422610816389e-05,0.3941061063505523,0.4759982842935242,False
alpha,6Z,-3.7994367453160173e-05,0.42090328490993845,0.5018462243156958,False
alpha,7Z,-7.283270497401239e-06,0.8645148966473899,0.8933320598689696,False
alpha,8Z,-2.1539019839630865e-05,0.5195739533393016,0.594535461666104,False
alpha,9Z,-1.959672348259534e-05,0.5679406595338463,0.6250707850490853,False
alpha,1L,-4.582493260874254e-05,0.23686797578633023,0.3888310641344685,False
alpha,2L,-7.909367675175762e-05,0.07468932815466425,0.25970257508919325,False
alpha,3L,-6.772053196216592e-05,0.15639858586597197,0.33436939047207803,False
alpha,4L,-6.983697056453061e-05,0.16642166990322738,0.33646120219565534,False
alpha,5L,-8.407373065840184e-05,0.11072093989326712,0.2878689101937675,False
alpha,6L,-4.9267432733169496e-05,0.3000874557867993,0.41345382797292346,False
alpha,7L,-4.774649477022956e-05,0.2758325223442162,0.40038118706942905,False
alpha,8L,-5.21734106461796e-05,0.26154135371092424,0.3984706966337065,False
alpha,9L,-5.426744732475683e-05,0.1006294285675543,0.2752510840230162,False
alpha,10L,-2.7540299384038618e-05,0.49889245741871735,0.5784996424002177,False
alpha,1R,-0.00010967686912838631,0.0035188364722009684,0.08152886537115751,False
alpha,2R,-9.281216251663347e-05,0.05294111686642408,0.24491792079115518,False
alpha,3R,-4.98287969454866e-05,0.26350481551583815,0.3984706966337065,False
alpha,4R,-8.542003262165507e-05,0.08656752502973107,0.25970257508919325,False
alpha,5R,-8.633103955151688e-05,0.08033043189334181,0.25970257508919325,False
alpha,6R,-6.031282938207387e-05,0.2671157619235758,0.40038118706942905,False
alpha,7R,-4.113638970733192e-05,0.3210905935194688,0.42667173429981115,False
alpha,8R,-7.67400614048593e-05,0.0641531274411301,0.24491792079115518,False
alpha,9R,-3.0095287404486866e-05,0.3394054448587832,0.4414644247813544,False
alpha,10R,-3.081848376087402e-05,0.4991783075695787,0.5784996424002177,False
alpha,1LA,-9.737837510550333e-05,0.0392125067830893,0.22792269567670656,False
alpha,2LA,-6.229107349879448e-05,0.10437701282574714,0.280207870815426,False
alpha,3LA,-7.396521862971855e-05,0.06021037604216518,0.24491792079115518,False
alpha,1LB,-4.0995845127122225e-05,0.27194034476755446,0.40038118706942905,False
alpha,2LB,-6.878455888397699e-05,0.03194914619993791,0.19808470643961507,False
alpha,3LB,-6.872450030523165e-05,0.018765468675116196,0.15865350788961874,False
alpha,4LB,-0.00011417256723174053,0.0004515930711721251,0.03425709591893347,True
alpha,5LB,-6.909120679323376e-05,0.06351161769549503,0.24491792079115518,False
alpha,1LC,-4.9719633596318785e-05,0.33313225012506176,0.43635632762860205,False
alpha,2LC,-5.905575365684486e-05,0.08473431862044208,0.25970257508919325,False
alpha,3LC,-5.4634145730389886e-05,0.16261863388470033,0.33646120219565534,False
alpha,4LC,-6.96292184099864e-05,0.062169611266664024,0.24491792079115518,False
alpha,5LC,-4.9268751707044135e-05,0.28186649537188013,0.40328590876284387,False
alpha,1LD,-4.020711700245322e-05,0.3472574177455431,0.4431361137314118,False
alpha,2LD,-4.3228896974441296e-05,0.24859918239099144,0.3952089566215761,False
alpha,3LD,-5.160105079259391e-05,0.09484637633097848,0.2714065538086461,False
alpha,4LD,-6.93744106324247e-05,0.10545457503806353,0.280207870815426,False
alpha,1RA,-0.00013354442208761617,0.0019148723358722662,0.0508808934960345,False
alpha,2RA,-6.692356963114567e-05,0.08610965663951796,0.25970257508919325,False
alpha,3RA,-4.33651482233689e-05,0.2746704054317267,0.40038118706942905,False
alpha,1RB,-0.00012114159231291135,0.0010751250723703683,0.03425709591893347,True
alpha,2RB,-4.768112184330016e-05,0.25288592087806416,0.39526706960773056,False
alpha,3RB,-7.167438860337685e-05,0.015264455382435703,0.14943098427016002,False
alpha,4RB,-3.7132185899657765e-05,0.19219274903495587,0.36206550993229347,False
alpha,5RB,-5.408376328199684e-05,0.12733562986914954,0.3036465019956643,False
alpha,1RC,-6.0679312807344805e-05,0.1401254232201609,0.3178454721823162,False
alpha,2RC,-6.998776656663345e-05,0.013962169130308823,0.14427574767985785,False
alpha,3RC,-3.557272191827016e-05,0.1256652720102583,0.3036465019956643,False
alpha,4RC,-4.433642767869031e-05,0.19770734647517407,0.3640947172711127,False
alpha,5RC,-5.421202829529476e-05,0.20573235800614975,0.3663648717088324,False
alpha,1RD,-1.9405591322205744e-05,0.4794467712250554,0.5644120218219006,False
alpha,2RD,-4.166210013578041e-05,0.07698177258588272,0.25970257508919325,False
alpha,3RD,2.0125367665965586e-05,0.5221144231111274,0.594535461666104,False
alpha,4RD,-5.621923134636799e-06,0.8719856556499421,0.8960736571872333,False
beta,1Z,-2.1622892691790108e-05,0.06452138773530432,0.24491792079115518,False
beta,2Z,-2.0705283599136575e-05,0.238315813501771,0.3888310641344685,False
beta,3Z,-3.460585309116214e-05,0.027110061505050513,0.19494804762744386,False
beta,4Z,-1.1599968261722012e-05,0.5503020011406665,0.6159388888828797,False
beta,6Z,-1.2024594644022069e-05,0.575967804916107,0.6264912965754147,False
beta,7Z,6.554908092225603e-07,0.9697480915003767,0.9712026680521761,False
beta,8Z,-8.312729398194022e-06,0.5744532187293385,0.6264912965754147,False
beta,9Z,-1.0836619372706919e-05,0.4378371686773693,0.518711550152807,False
beta,1L,-1.4309572498717222e-05,0.304389585720501,0.4143403644805804,False
beta,2L,-2.025503533398656e-05,0.20681887919046993,0.3663648717088324,False
beta,3L,-2.0298205163934528e-05,0.2439212865118997,0.3911151663035633,False
beta,4L,-2.787632669377725e-05,0.1506738589215901,0.3297098559931266,False
beta,5L,-3.480267252149408e-05,0.11440588451319249,0.2878689101937675,False
beta,6L,-1.787512039268581e-05,0.40866444194545604,0.49039733033454724,False
beta,7L,-1.0190130112074519e-05,0.5902807104008121,0.6346370643615667,False
beta,8L,-1.0480670248626058e-05,0.5530204002335533,0.6159388888828797,False
beta,9L,-1.712865162156216e-05,0.27538470775702206,0.40038118706942905,False
beta,10L,6.235847362549465e-07,0.9712026680521761,0.9712026680521761,False
beta,1R,-3.785868337345023e-05,0.013358583055537466,0.14427574767985785,False
beta,2R,-3.0098755757621163e-05,0.05414366559533635,0.24491792079115518,False
beta,3R,-1.2424197840599594e-05,0.3795447893769802,0.4675187471795916,False
beta,4R,-3.46958638028859e-05,0.08192272796718292,0.25970257508919325,False
beta,5R,-3.750494389305067e-05,0.09752654587557437,0.2748475383766187,False
beta,6R,-2.6230679370219828e-05,0.2926362868895639,0.4123511315262036,False
beta,7R,-1.601486390902281e-05,0.36632490078235647,0.45424287697012206,False
beta,8R,-3.198061631786324e-05,0.056647250778567804,0.24491792079115518,False
beta,9R,-1.3684338875632492e-05,0.3515139531909882,0.4431361137314118,False
beta,10R,-7.843674569896042e-06,0.7222294877318417,0.7547874653918494,False
beta,1LA,-3.613119345219018e-05,0.0728369195721547,0.25970257508919325,False
beta,2LA,-1.701161414971117e-05,0.31236665819732823,0.4210159306137902,False
beta,3LA,-3.1361063621799696e-05,0.05510696461415417,0.24491792079115518,False
beta,1LB,-1.3452497744530657e-05,0.3933284659238784,0.4759982842935242,False
beta,2LB,-2.3096862191431006e-05,0.2232886505216587,0.3775608090638956,False
beta,3LB,-2.241157498641236e-05,0.1360411232193702,0.31239072739262785,False
beta,4LB,-4.25429269248684e-05,0.003990718627250828,0.08152886537115751,False
beta,5LB,-2.1377127497639656e-05,0.17781289890191976,0.35184254463571357,False
beta,1LC,-2.0273052891319607e-05,0.3477985279545862,0.4431361137314118,False
beta,2LC,-2.4113052162386014e-05,0.1657406981523486,0.33646120219565534,False
beta,3LC,-2.751624512612816e-05,0.08955996712811352,0.2644151410449066,False
beta,4LC,-2.3349295437654382e-05,0.1937142806551232,0.36206550993229347,False
beta,5LC,-8.7210286163648e-06,0.6501544526568276,0.6910213039666853,False
beta,1LD,-9.553228625127959e-06,0.562025159833363,0.6222421412440805,False
beta,2LD,-1.6274949274994044e-05,0.1903623360883132,0.36206550993229347,False
beta,3LD,-1.4680937650878018e-05,0.3051861824399974,0.4143403644805804,False
beta,4LD,-1.7150516987844055e-05,0.27768372651589435,0.40038118706942905,False
beta,1RA,-5.632529459167501e-05,0.000857207712649171,0.03425709591893347,True
beta,2RA,-2.314926598450203e-05,0.2255137369039597,0.37788788346068924,False
beta,3RA,-1.6331098773662203e-05,0.3858757008469894,0.472190002352237,False
beta,1RB,-4.554599716842615e-05,0.008268780981115947,0.1183071740375051,False
beta,2RB,-6.866218822481596e-06,0.6794202989931069,0.7180237250722606,False
beta,3RB,-4.1107051034574466e-05,0.011874196125394192,0.1436008069509475,False
beta,4RB,-7.9925269521619e-06,0.598553967432987,0.6398335513938828,False
beta,5RB,-1.9846820127648257e-05,0.16290510422448445,0.33646120219565534,False
beta,1RC,-1.828079715597407e-05,0.29996687187977766,0.41345382797292346,False
beta,2RC,-2.7606482632892062e-05,0.023200075715470867,0.17980058679489921,False
beta,3RC,-1.0772224677184801e-06,0.944249717282063,0.959729220844064,False
beta,4RC,-1.3598188125284591e-05,0.3642063456324335,0.45424287697012206,False
beta,5RC,-1.4894248047659774e-05,0.3526029292056395,0.4431361137314118,False
beta,1RD,2.076313840538753e-06,0.8527730076807843,0.8861216727856195,False
beta,2RD,-1.5324126826344475e-05,0.14771755802714998,0.3270888784886892,False
beta,3RD,5.695409193793549e-06,0.7223234883857483,0.7547874653918494,False
beta,4RD,7.8329519685156e-07,0.955485840611579,0.9658715562704006,False
