band,channel,statistic,p_value,p_value_corrected,significant
beta,2LA,138.0,0.746925950050354,0.970075868978733,False
beta,3LA,112.0,0.28966712951660156,0.9621086801801408,False
beta,1LB,133.0,0.6431422233581543,0.970075868978733,False
beta,2LB,145.0,0.899570107460022,0.9842355293386124,False
beta,3LB,129.0,0.5645889043807983,0.970075868978733,False
beta,4LB,121.0,0.4223414659500122,0.970075868978733,False
beta,5LB,124.0,0.47316575050354004,0.970075868978733,False
beta,1LC,147.0,0.944107174873352,0.9865389580137274,False
beta,2LC,140.0,0.7898378372192383,0.970075868978733,False
beta,3LC,91.0,0.09509599208831787,0.8843927264213561,False
beta,4LC,134.0,0.6634435653686523,0.970075868978733,False
beta,5LC,143.0,0.8553357124328613,0.970075868978733,False
beta,1LD,107.0,0.22918963432312012,0.9361394015225497,False
beta,2LD,144.0,0.8774070739746094,0.9772318308938763,False
beta,3LD,111.0,0.27681541442871094,0.9361394015225497,False
beta,4LD,134.0,0.6634435653686523,0.970075868978733,False
beta,1RA,137.0,0.7257407903671265,0.970075868978733,False
beta,2RA,132.0,0.6230943202972412,0.970075868978733,False
beta,3RA,125.0,0.49079859256744385,0.970075868978733,False
beta,1RB,138.0,0.746925950050354,0.970075868978733,False
beta,2RB,128.0,0.5456695556640625,0.970075868978733,False
beta,3RB,131.0,0.6033114194869995,0.970075868978733,False
beta,4RB,129.0,0.5645889043807983,0.970075868978733,False
beta,5RB,148.0,0.9664472341537476,0.9941576184453191,False
beta,1RC,131.0,0.6033114194869995,0.970075868978733,False
beta,2RC,142.0,0.8333734273910522,0.970075868978733,False
beta,3RC,129.0,0.5645889043807983,0.970075868978733,False
beta,4RC,139.0,0.7682963609695435,0.970075868978733,False
beta,5RC,141.0,0.8115357160568237,0.970075868978733,False
beta,1RD,127.0,0.5270590782165527,0.970075868978733,False
beta,2RD,127.0,0.5270590782165527,0.970075868978733,False
beta,3RD,93.0,0.10738253593444824,0.9078705310821533,False
beta,4RD,107.0,0.22918963432312012,0.9361394015225497,False
