participant,classifier,mean_accuracy,std_accuracy
11,SVM,0.7801980198019802,0.0074092225480672175
11,LDA,0.7564356435643564,0.03890471822651192
11,KNN,0.7702970297029703,0.02114272921194321
11,RandomForest,0.7564356435643564,0.020387386417796055
12,LogisticRegression,0.6829160246533127,0.029498710469106477
12,SVM,0.6715844889573704,0.03341668960876418
12,LDA,0.6840588084232151,0.03198525992972482
12,KNN,0.6331856702619415,0.052468809914339866
12,RandomForest,0.6546545968156138,0.026658559150021802
15,LogisticRegression,0.7650485436893204,0.014268872288057344
15,SVM,0.7883495145631068,0.015533980582524264
15,LDA,0.7631067961165049,0.018007026204846018
15,KNN,0.7747572815533981,0.03601405240969204
15,RandomForest,0.7572815533980582,0.025317290893990856
18,LogisticRegression,0.6845962732919254,0.029488814371312618
18,SVM,0.7618866459627329,0.014252433891843353
18,LDA,0.6820962732919253,0.02804142541821582
18,KNN,0.7281754658385092,0.013503456821444685
18,RandomForest,0.7518478260869565,0.015323687566653383
19,LogisticRegression,0.7042150701453691,0.04529175228958311
19,SVM,0.6941027105948073,0.03941232986908318
19,LDA,0.7053386656509871,0.04315785517798325
19,KNN,0.658046086459722,0.027332434099973595
19,RandomForest,0.680594172538564,0.03744169834025512
21,LogisticRegression,0.6914238557735035,0.025224827474853162
21,SVM,0.6914111597790897,0.025594929511296004
21,LDA,0.6914302037707103,0.02462617461838925
21,KNN,0.681400368183838,0.03931590136793648
21,RandomForest,0.6891766647622675,0.01064609286025516
22,LogisticRegression,0.6497237569060774,0.04386615080945682
22,SVM,0.6640883977900552,0.015390484284181345
22,LDA,0.6508287292817679,0.043558902418623265
22,KNN,0.6243093922651933,0.009244862171647248
22,RandomForest,0.6441988950276243,0.0491184768417522
23,LogisticRegression,0.6727272727272727,0.033634998607300876
23,SVM,0.7066666666666667,0.017397212235645214
23,LDA,0.6727272727272727,0.037360084866478634
23,KNN,0.6642424242424243,0.020137269970710504
23,RandomForest,0.673939393939394,0.03935195898363132
24,LogisticRegression,0.6368322147651007,0.018503018007882035
24,SVM,0.6581655480984341,0.03483562131050694
24,LDA,0.6394988814317674,0.01779297230143042
24,KNN,0.6194362416107383,0.03517787765539447
24,RandomForest,0.6127785234899329,0.030032186488418326
25,LogisticRegression,0.7739638228172625,0.039248147765413494
25,SVM,0.76890756302521,0.03348368029448119
25,LDA,0.7739353368466031,0.03722827571195982
25,KNN,0.7402934054977923,0.0258734482110866
25,RandomForest,0.7487252528129895,0.018871907189420764
26,LogisticRegression,0.7969171673397026,0.011715474754641887
26,SVM,0.805308775731311,0.019611241286256798
26,LDA,0.8053186250369349,0.014300649094217535
26,KNN,0.7828917561311928,0.028487004839836804
26,RandomForest,0.7982862208214321,0.019350013108393398
27,LogisticRegression,0.6380692829457365,0.02063120948158266
27,SVM,0.656734496124031,0.03640281948185803
27,LDA,0.6380692829457365,0.028570470851439364
27,KNN,0.6068192829457365,0.018416206891797068
27,RandomForest,0.6318071705426357,0.043040783173970504
28,LogisticRegression,0.6342068188222034,0.030416857372907734
28,SVM,0.6496266553958863,0.017958861217922638
28,LDA,0.6342068188222034,0.030416857372907734
28,KNN,0.5914835164835165,0.028883673770617034
28,RandomForest,0.6413496759650605,0.02201956404038622
29,LogisticRegression,0.6681966109303109,0.014631447291135333
29,SVM,0.6562114240825945,0.03206882373526319
29,LDA,0.6711816855571765,0.011688888463625896
29,KNN,0.6172371226573897,0.05209090262131132
29,RandomForest,0.6547413309392885,0.06482599821414273
30,LogisticRegression,0.7437125748502994,0.027151578559891313
30,SVM,0.7712574850299402,0.015336824520797234
30,LDA,0.7437125748502994,0.02377177633686134
30,KNN,0.7688622754491018,0.030438958148835543
30,RandomForest,0.7820359281437126,0.03779576967199882
