participant,classifier,band,mean_accuracy,std_accuracy
7,LDA,beta,0.8827129859387923,0.02435596195955211
7,KNN,theta,0.8170636889991728,0.028892672482621392
7,KNN,alpha,0.8621257237386271,0.0300877101454457
7,KNN,beta,0.9007857733664185,0.03224009594778328
7,RandomForest,theta,0.8131430934656741,0.01825422193357803
7,RandomForest,alpha,0.8749793217535153,0.034830653459423835
7,RandomForest,beta,0.9033250620347395,0.019239716160979078
8,LogisticRegression,theta,0.734857142857143,0.01600000000000003
8,LogisticRegression,alpha,0.7234285714285715,0.024670895022769052
8,LogisticRegression,beta,0.7862857142857143,0.03642829131544967
8,SVM,theta,0.7965714285714286,0.023588305646343222
8,SVM,alpha,0.8022857142857143,0.017925013875837864
8,SVM,beta,0.8617142857142858,0.027853845958751847
8,LDA,theta,0.7474285714285716,0.025142857142857158
8,LDA,alpha,0.7268571428571429,0.023253702799286662
8,LDA,beta,0.7965714285714285,0.033631860501856355
8,KNN,theta,0.7862857142857143,0.03642829131544967
8,KNN,alpha,0.8114285714285716,0.016951310827647253
8,KNN,beta,0.8639999999999999,0.029226769948672952
8,RandomForest,theta,0.792,0.01999183506804102
8,RandomForest,alpha,0.8057142857142857,0.01770506672551962
8,RandomForest,beta,0.8502857142857142,0.02325370279928665
9,LogisticRegression,theta,0.857303370786517,0.03563764388124429
9,LogisticRegression,alpha,0.852808988764045,0.040261736780154884
9,LogisticRegression,beta,0.9134831460674157,0.025023660057663002
9,SVM,theta,0.8764044943820224,0.03035787884518272
9,SVM,alpha,0.8921348314606743,0.019265649662339606
9,SVM,beta,0.9370786516853933,0.013943453534821171
9,LDA,theta,0.8651685393258427,0.0446620380097793
9,LDA,alpha,0.849438202247191,0.03613019144003041
9,LDA,beta,0.9089887640449439,0.02959986488161681
9,KNN,theta,0.8584269662921347,0.028291411937110485
9,KNN,alpha,0.8887640449438203,0.02738439911675041
9,KNN,beta,0.944943820224719,0.01029792291001311
9,RandomForest,theta,0.8674157303370785,0.020900084536784595
9,RandomForest,alpha,0.8898876404494382,0.01210149394861684
9,RandomForest,beta,0.9404494382022472,0.007620595486657584
10,LogisticRegression,theta,0.8309278350515464,0.0430528103460229
10,LogisticRegression,alpha,0.8907216494845361,0.019120862877310713
10,LogisticRegression,beta,0.8288659793814434,0.052809272061301864
10,SVM,theta,0.8412371134020619,0.044509346690562696
10,SVM,alpha,0.8989690721649485,0.028718326344709524
10,SVM,beta,0.8536082474226804,0.04582703251730488
10,LDA,theta,0.8412371134020619,0.04354373625142862
10,LDA,alpha,0.888659793814433,0.019990432401716836
10,LDA,beta,0.8206185567010309,0.05075683969109762
10,KNN,theta,0.8288659793814434,0.04354373625142862
10,KNN,alpha,0.888659793814433,0.01999043240171683
10,KNN,beta,0.8556701030927835,0.056466243041769705
10,RandomForest,theta,0.8268041237113403,0.05313030402773248
10,RandomForest,alpha,0.8824742268041238,0.021228103383478355
10,RandomForest,beta,0.8515463917525773,0.04948453608247423
11,LogisticRegression,theta,0.9049504950495049,0.025513066785594292
11,LogisticRegression,alpha,0.9524752475247524,0.007409222548067217
11,LogisticRegression,beta,0.9861386138613861,0.007920792079207928
11,SVM,theta,0.9049504950495049,0.023926823710088238
11,SVM,alpha,0.9405940594059405,0.0140021144789415
11,SVM,beta,0.9841584158415841,0.007920792079207928
11,LDA,theta,0.9049504950495049,0.02038738641779602
11,LDA,alpha,0.9504950495049505,0.00626193596072947
11,LDA,beta,0.9821782178217822,0.011546439395733278
11,KNN,theta,0.9049504950495049,0.022227667644201615
11,KNN,alpha,0.9386138613861386,0.015841584158415807
11,KNN,beta,0.9900990099009901,0.00626193596072947
11,RandomForest,theta,0.9009900990099009,0.029371083117210532
11,RandomForest,alpha,0.9405940594059405,0.012523871921458887
11,RandomForest,beta,0.9861386138613861,0.010097068343748097
12,LogisticRegression,theta,0.8991782229070365,0.01750876944152493
12,LogisticRegression,alpha,0.8674820236260915,0.020231188535963153
12,LogisticRegression,beta,0.8187660503338469,0.018221899836611648
12,SVM,theta,0.902600154083205,0.015793690312807696
