band,channel,statistic,p_value,p_value_corrected,significant
theta,3LB,127.0,0.5270590782165527,0.9931446715613096,False
theta,4LB,118.0,0.37475037574768066,0.9931446715613096,False
theta,5LB,137.0,0.7257407903671265,0.9931446715613096,False
theta,1LC,108.0,0.2405325174331665,0.9931446715613096,False
theta,2LC,145.0,0.899570107460022,0.9931446715613096,False
theta,3LC,109.0,0.2522493600845337,0.9931446715613096,False
theta,4LC,74.0,0.029131293296813965,0.9931446715613096,False
theta,5LC,80.0,0.045679688453674316,0.9931446715613096,False
theta,1LD,113.0,0.30289924144744873,0.9931446715613096,False
theta,2LD,134.0,0.6634435653686523,0.9931446715613096,False
theta,3LD,72.0,0.024863600730895996,0.9931446715613096,False
theta,4LD,77.0,0.036649227142333984,0.9931446715613096,False
theta,1RA,127.0,0.5270590782165527,0.9931446715613096,False
theta,2RA,144.0,0.8774070739746094,0.9931446715613096,False
theta,3RA,111.0,0.27681541442871094,0.9931446715613096,False
theta,1RB,129.0,0.5645889043807983,0.9931446715613096,False
theta,2RB,112.0,0.28966712951660156,0.9931446715613096,False
theta,3RB,141.0,0.8115357160568237,0.9931446715613096,False
theta,4RB,133.0,0.6431422233581543,0.9931446715613096,False
theta,5RB,122.0,0.4389305114746094,0.9931446715613096,False
theta,1RC,134.0,0.6634435653686523,0.9931446715613096,False
theta,2RC,110.0,0.26434290409088135,0.9931446715613096,False
theta,3RC,125.0,0.49079859256744385,0.9931446715613096,False
theta,4RC,101.0,0.1688096523284912,0.9931446715613096,False
theta,5RC,122.0,0.4389305114746094,0.9931446715613096,False
theta,1RD,105.0,0.20761656761169434,0.9931446715613096,False
theta,2RD,80.0,0.045679688453674316,0.9931446715613096,False
theta,3RD,95.0,0.12084019184112549,0.9931446715613096,False
theta,4RD,94.0,0.11396121978759766,0.9931446715613096,False
alpha,1Z,140.0,0.7898378372192383,0.9931446715613096,False
alpha,2Z,128.0,0.5456695556640625,0.9931446715613096,False
alpha,3Z,140.0,0.7898378372192383,0.9931446715613096,False
alpha,4Z,95.0,0.12084019184112549,0.9931446715613096,False
alpha,6Z,102.0,0.1779801845550537,0.9931446715613096,False
alpha,7Z,139.0,0.7682963609695435,0.9931446715613096,False
alpha,8Z,134.0,0.6634435653686523,0.9931446715613096,False
alpha,9Z,114.0,0.3165123462677002,0.9931446715613096,False
alpha,1L,125.0,0.49079859256744385,0.9931446715613096,False
alpha,2L,148.0,0.9664472341537476,0.9931446715613096,False
alpha,3L,139.0,0.7682963609695435,0.9931446715613096,False
alpha,4L,128.0,0.5456695556640625,0.9931446715613096,False
alpha,5L,113.0,0.30289924144744873,0.9931446715613096,False
alpha,6L,88.0,0.07872927188873291,0.9931446715613096,False
alpha,7L,127.0,0.5270590782165527,0.9931446715613096,False
alpha,8L,147.0,0.944107174873352,0.9931446715613096,False
alpha,9L,128.0,0.5456695556640625,0.9931446715613096,False
alpha,10L,114.0,0.3165123462677002,0.9931446715613096,False
alpha,1R,130.0,0.5838061571121216,0.9931446715613096,False
alpha,2R,146.0,0.9218088388442993,0.9931446715613096,False
alpha,3R,148.0,0.9664472341537476,0.9931446715613096,False
alpha,4R,135.0,0.6839864253997803,0.9931446715613096,False
alpha,5R,106.0,0.21821892261505127,0.9931446715613096,False
alpha,6R,140.0,0.7898378372192383,0.9931446715613096,False
alpha,7R,148.0,0.9664472341537476,0.9931446715613096,False
alpha,8R,143.0,0.8553357124328613,0.9931446715613096,False
alpha,9R,145.0,0.899570107460022,0.9931446715613096,False
alpha,10R,127.0,0.5270590782165527,0.9931446715613096,False
alpha,1LA,130.0,0.5838061571121216,0.9931446715613096,False
alpha,2LA,149.0,0.9888126850128174,0.999560648980348,False
alpha,3LA,101.0,0.1688096523284912,0.9931446715613096,False
alpha,1LB,142.0,0.8333734273910522,0.9931446715613096,False
alpha,2LB,143.0,0.8553357124328613,0.9931446715613096,False
alpha,3LB,120.0,0.40611207485198975,0.9931446715613096,False
alpha,4LB,143.0,0.8553357124328613,0.9931446715613096,False
alpha,5LB,126.0,0.5087660551071167,0.9931446715613096,False
alpha,1LC,119.0,0.3902466297149658,0.9931446715613096,False
alpha,2LC,147.0,0.944107174873352,0.9931446715613096,False
alpha,3LC,105.0,0.20761656761169434,0.9931446715613096,False
alpha,4LC,111.0,0.27681541442871094,0.9931446715613096,False
alpha,5LC,121.0,0.4223414659500122,0.9931446715613096,False
