band,channel,coef,p_value,p_value_corrected,significant
theta,9R,-0.000229110867372946,0.11169815913725643,0.28786891019376715,False
theta,10R,-0.0002411737116355086,0.20093842655826055,0.36609676630790927,False
theta,1LA,-0.000421941488559079,0.050438904998541916,0.24491792079115565,False
theta,2LA,-0.0002475781855594849,0.1002888427049256,0.27525108402301685,False
theta,3LA,-0.00028820602780940663,0.058174570408669066,0.24491792079115565,False
theta,1LB,-0.00022270128095507868,0.1871275590957291,0.3620655099322928,False
theta,2LB,-0.0003016606422828245,0.029347017922410765,0.19494804762744294,False
theta,3LB,-0.00029771014962075184,0.018130320646299092,0.1586535078896185,False
theta,4LB,-0.0005133639786846426,3.2540906334190393e-05,0.006052608578159413,True
theta,5LB,-0.0004073840142872293,0.012352757587178242,0.14360080695094707,False
theta,1LC,-0.0002187018847348845,0.35007111876914143,0.44313611373141154,False
theta,2LC,-0.00023906194761951706,0.08614449507754217,0.2597025750891972,False
theta,3LC,-0.00025480512645202174,0.1304913580991475,0.3072328178030561,False
theta,4LC,-0.0003674393414055063,0.007174911949478499,0.1183071740375061,False
theta,5LC,-0.00028167060938873487,0.13240753794505528,0.3078475257222535,False
theta,1LD,-0.00019939796314419052,0.32615144903528104,0.4302423370252644,False
theta,2LD,-0.0002549849314825636,0.14428488236724918,0.32333720626877527,False
theta,3LD,-0.0002908689076786287,0.028974110280880053,0.19494804762744294,False
theta,4LD,-0.00034643822307163757,0.06899794079050355,0.2566723397406732,False
theta,1RA,-0.0005706164581110605,0.0008603099732357787,0.03425709591893331,True
theta,2RA,-0.0002424403804268332,0.12146890093040674,0.30124287430740876,False
theta,3RA,-0.0001790457743049703,0.2136475054128738,0.37138725239994885,False
theta,1RB,-0.0005221898711916969,0.0011050676102881713,0.03425709591893331,True
theta,2RB,-0.00020503717198211,0.255024328207368,0.3952877087214204,False
theta,3RB,-0.0002968865387547392,0.011149106498145558,0.14360080695094707,False
theta,4RB,-0.00015736871336765752,0.1608788713996776,0.33646120219565423,False
theta,5RB,-0.00025837049621630015,0.07371786309764311,0.2597025750891972,False
theta,1RC,-0.00023049193236977282,0.21193544970563705,0.37138725239994885,False
theta,2RC,-0.00032480021442265816,0.007929154545281212,0.1183071740375061,False
theta,3RC,-0.0002359693656028378,0.021448473501189273,0.17345287266179152,False
theta,4RC,-0.000270211722522115,0.04442197225334627,0.24301431879771784,False
theta,5RC,-0.0002862162629489006,0.12578208132559868,0.30364650199566157,False
theta,1RD,-6.710625120037579e-05,0.5884035766104254,0.6346370643615667,False
theta,2RD,-0.0002452844476469383,0.02917651563569724,0.19494804762744294,False
theta,3RD,1.1134003890098778e-05,0.9296205151913682,0.9500517353054643,False
theta,4RD,-9.254264434543459e-05,0.5242140629744152,0.594535461666105,False
alpha,1Z,-0.0002823533990058147,0.033423256710059815,0.2005395402603589,False
alpha,2Z,-0.0003222611570591497,0.15285733860708506,0.33059843001067235,False
alpha,3Z,-0.00039206264744304074,0.044051553409341304,0.24301431879771784,False
alpha,4Z,-0.0001710169044326557,0.3941061063505519,0.4759982842935237,False
alpha,6Z,-0.0001519774698126423,0.42090328490993323,0.5018462243156896,False
alpha,7Z,-2.9133081989605244e-05,0.8645148966473886,0.8933320598689681,False
alpha,8Z,-8.615607935852375e-05,0.5195739533393,0.594535461666105,False
alpha,9Z,-7.838689393038094e-05,0.5679406595338488,0.625070785049088,False
alpha,1L,-0.00018329973043497013,0.23686797578633012,0.3888310641344694,False
alpha,2L,-0.0003163747070070295,0.07468932815466511,0.2597025750891972,False
alpha,3L,-0.00027088212784866233,0.1563985858659738,0.3343693904720819,False
