participant,band,channel,statistic,p_value,p_value_corrected,significant
9,beta,5LB,44746.0,0.1367818518906826,0.20191606707672194,False
9,beta,1LC,32654.0,1.93407869524383e-09,1.4989109888139686e-08,True
9,beta,2LC,48229.0,0.8514497660736244,0.9129879250409343,False
9,beta,3LC,32418.0,1.1194470465463456e-09,1.1567619480978905e-08,True
9,beta,4LC,39069.0,0.00030883459285728314,0.0007659097902860622,True
9,beta,5LC,21078.0,5.379408319873927e-25,3.3352331583218347e-23,True
9,beta,1LD,29575.0,8.490051299213107e-13,1.7546106018373754e-11,True
9,beta,2LD,46385.0,0.38111098921102315,0.48222206798129463,False
9,beta,3LD,32494.0,1.3360928162857345e-09,1.1833964944245078e-08,True
9,beta,4LD,39340.0,0.00045390765220183337,0.0010423064606116174,True
9,beta,1RA,46704.0,0.4492111197166039,0.5570217884485889,False
9,beta,2RA,46299.0,0.3638967073030931,0.4700332469331619,False
9,beta,3RA,41164.0,0.004721209911192627,0.009442419822385254,True
9,beta,1RB,47591.0,0.6704653630818831,0.7441096945295789,False
9,beta,2RB,48238.0,0.8540854782640998,0.9129879250409343,False
9,beta,3RB,46949.0,0.5058947357808199,0.6150092866355065,False
9,beta,4RB,45633.0,0.24741082161468264,0.3408771320024516,False
9,beta,5RB,40519.0,0.002167119570901297,0.004633152186064842,True
9,beta,1RC,47388.0,0.6161507217779187,0.7238567809847543,False
9,beta,2RC,44062.0,0.0812811744632879,0.13261665307168027,False
9,beta,3RC,48714.0,0.9950839521939175,0.9950839521939175,False
9,beta,4RC,44162.0,0.08801580160090254,0.1399225563911784,False
9,beta,5RC,37361.0,2.1803652389756066e-05,6.644073947384341e-05,True
9,beta,1RD,47471.0,0.638126747600582,0.7326640435414089,False
9,beta,2RD,46018.0,0.3111101395309055,0.41040060959396046,False
9,beta,3RD,41774.0,0.009385594955350914,0.018184590225992395,True
9,beta,4RD,40552.0,0.002258149129111332,0.0046668415334967525,True
10,theta,1Z,10885.0,0.00317046106068873,0.008546460250552229,True
10,theta,2Z,9969.0,0.00013175330416789673,0.0005445803238939732,True
10,theta,3Z,8983.0,1.9141831039539662e-06,1.4834919055643239e-05,True
10,theta,4Z,8632.0,3.458234208368315e-07,4.288210418376711e-06,True
10,theta,6Z,8701.0,4.88253897371838e-07,5.045290272842327e-06,True
10,theta,7Z,8183.0,3.30906925430434e-08,5.129057344171727e-07,True
10,theta,8Z,9621.0,3.258390834047266e-05,0.0001836547561008459,True
10,theta,9Z,10092.0,0.00021055339297172253,0.0007252394646803775,True
10,theta,1L,13084.0,0.3918551683668392,0.4417276443408006,False
10,theta,2L,13345.0,0.5434084445190724,0.5710393823759744,False
10,theta,3L,11138.0,0.006733657171028751,0.014396094641509745,True
10,theta,4L,10914.0,0.0034657949138457577,0.00891600659726686,True
10,theta,5L,11173.0,0.007441753068040819,0.014883506136081638,True
10,theta,6L,11851.0,0.04229193534052649,0.060979069560759123,False
10,theta,7L,11151.0,0.006989269367250877,0.014444490025651811,True
10,theta,8L,8813.0,8.470746921628736e-07,7.502661559156881e-06,True
10,theta,9L,10926.0,0.0035951639505108304,0.00891600659726686,True
10,theta,10L,12444.0,0.142694707084736,0.18055248651538025,False
10,theta,1R,11785.0,0.03630471650316872,0.05627231057991152,False
10,theta,2R,11365.0,0.01264800581285209,0.023500781222101363,True
10,theta,3R,10615.0,0.0013372124607893866,0.0037685078440428165,True
10,theta,4R,10084.0,0.00020431103179485474,0.0007252394646803775,True
10,theta,5R,7964.0,9.876741801387199e-09,2.041193305620021e-07,True
10,theta,6R,11101.0,0.0060514972532416285,0.013399743917892178,True
10,theta,7R,7883.0,6.247993861948145e-09,1.936878097203925e-07,True
10,theta,8R,9788.0,6.454355225206585e-05,0.0003334750199690069,True
10,theta,9R,10075.0,0.00019749632562720927,0.0007252394646803775,True
10,theta,10R,9816.0,7.221010188297825e-05,0.00033951110817064884,True
10,theta,1LA,13483.0,0.6339119895343075,0.6550423891854511,False
10,theta,2LA,13139.0,0.42147045245697146,0.46662800093450413,False
10,theta,3LA,11319.0,0.011169761099332397,0.02164141212995652,True
10,theta,1LB,13251.0,0.48567906676698636,0.5282824936763711,False
10,theta,2LB,11748.0,0.03327586566857087,0.05290009413977933,False
10,theta,3LB,11598.0,0.023110238411334603,0.03872526436493906,True
10,theta,4LB,11524.0,0.01917613863902026,0.03302557210053489,True
10,theta,5LB,12302.0,0.10935956309209029,0.14426155131297017,False
10,theta,1LC,10417.0,0.0006826409838739657,0.0021758726987209116,True
10,theta,2LC,11890.0,0.04620779593792042,0.06366407440335702,False
10,theta,3LC,12870.0,0.2891066519095963,0.33193726700731424,False
10,theta,4LC,12614.0,0.192263545358626,0.23373215318107474,False
10,theta,5LC,9831.0,7.666379861917877e-05,0.00033951110817064884,True
10,theta,1LD,9075.0,2.944502575589391e-06,2.028435107628247e-05,True
10,theta,2LD,11825.0,0.03984040188051371,0.05990608720708928,False
10,theta,3LD,12652.0,0.20489838798379323,0.24430192413452267,False
10,theta,4LD,12571.0,0.17866795313071804,0.22154826188209037,False
10,theta,1RA,11862.0,0.043366901499065864,0.06110790665777462,False
10,theta,2RA,13509.0,0.6516550963388921,0.6623379667706771,False
10,theta,3RA,7816.0,4.2592867198480415e-09,1.936878097203925e-07,True
10,theta,1RB,10461.0,0.0007949427832766702,0.002346973931578741,True
10,theta,2RB,12210.0,0.09127610943573694,0.12302432141338457,False
10,theta,3RB,13291.0,0.5098318881606622,0.5449927080338113,False
10,theta,4RB,11720.0,0.0311299443662182,0.0507909618606718,False
10,theta,5RB,11372.0,0.01288752518631365,0.023500781222101363,True
10,theta,1RC,12823.0,0.26922509230848346,0.31494256081369765,False
