band,channel,t_statistic,p_value,cohen_d,p_value_corrected,significant
alpha,1LD,-0.6405530971819262,0.5281439559492018,-0.13075235343792704,0.994414317839561,False
alpha,2LD,-1.5527945382796373,0.1341252100227089,-0.3169628578471427,0.8909746094365664,False
alpha,3LD,-1.4991586179447716,0.1474341704238602,-0.3060144714550603,0.9456122654771724,False
alpha,4LD,0.8225193273958773,0.41922756886843127,0.1678960546414267,0.994414317839561,False
alpha,1RA,-0.36099570763291594,0.7213973452971798,-0.07368794025296521,0.994414317839561,False
alpha,2RA,-1.2902821884166953,0.20977445115060514,-0.2633777488185439,0.9906936617717541,False
alpha,3RA,0.069591621166143,0.9451202322959773,0.014205330185843336,0.994414317839561,False
alpha,1RB,0.7670056982048291,0.4508801651437111,0.1565643825340816,0.994414317839561,False
alpha,2RB,0.5557724386227595,0.5837328994693605,0.11344657397733691,0.994414317839561,False
alpha,3RB,0.514041852928764,0.6121265036446092,0.10492835384252222,0.994414317839561,False
alpha,4RB,0.10251580131361582,0.9192358407663943,0.020925950315908347,0.994414317839561,False
alpha,5RB,1.5600720474707563,0.13239808740852305,0.3184483731901974,0.8909746094365664,False
alpha,1RC,-0.40935356478557566,0.6860674092742104,-0.08355894650949973,0.994414317839561,False
alpha,2RC,-1.3613172672256173,0.18660212201509335,-0.277877723561898,0.9906936617717541,False
alpha,3RC,-0.8543556028659679,0.4017195033662472,-0.17439460715912722,0.994414317839561,False
alpha,4RC,2.0004738566928193,0.057389966430955994,0.4083450160562472,0.7147116434619283,False
alpha,5RC,0.9758399534362318,0.33929652928779586,0.19919249637833866,0.994414317839561,False
alpha,1RD,0.14813169287003702,0.8835298603469236,0.030237255188855307,0.994414317839561,False
alpha,2RD,0.3092707013996488,0.7598999763638028,0.06312961756848323,0.994414317839561,False
alpha,3RD,-0.048273385625420565,0.9619151071444406,-0.009853763578240382,0.994414317839561,False
alpha,4RD,0.2376142619004543,0.8142842048144492,0.048502808105346545,0.994414317839561,False
beta,1Z,-0.34286673068845214,0.7348126329238123,-0.06998737833024715,0.994414317839561,False
beta,2Z,0.19140025148132603,0.8498916467269957,0.039069412730802416,0.994414317839561,False
beta,3Z,-0.1955522856434574,0.8466779376808098,-0.039916943155121246,0.994414317839561,False
beta,4Z,-1.6863825274575401,0.10524163168672321,-0.3442313919513347,0.8704281978476568,False
beta,6Z,-0.4732400442298271,0.6405026104346041,-0.09659971951793492,0.994414317839561,False
beta,7Z,1.2505809824146716,0.22366094765998898,0.255273774078704,0.9906936617717541,False
beta,8Z,1.9895348523199392,0.05866178954551279,0.40611210113894464,0.7147116434619283,False
beta,9Z,0.6227851995436735,0.5395522020510077,0.12712549651995023,0.994414317839561,False
beta,1L,0.8028214264812742,0.43029637270487875,0.16387523745437008,0.994414317839561,False
