band,channel,statistic,p_value,p_value_corrected,significant
beta,2RB,136.0,0.704756498336792,0.9648567831123268,False
beta,3RB,147.0,0.944107174873352,0.9648567831123268,False
beta,4RB,146.0,0.9218088388442993,0.9648567831123268,False
beta,5RB,98.0,0.14335036277770996,0.8721832036972046,False
beta,1RC,135.0,0.6839864253997803,0.9648567831123268,False
beta,2RC,143.0,0.8553357124328613,0.9648567831123268,False
beta,3RC,138.0,0.746925950050354,0.9648567831123268,False
beta,4RC,95.0,0.12084019184112549,0.8721832036972046,False
beta,5RC,117.0,0.35962629318237305,0.9648567831123268,False
beta,1RD,136.0,0.704756498336792,0.9648567831123268,False
beta,2RD,108.0,0.2405325174331665,0.9648567831123268,False
beta,3RD,87.0,0.07379257678985596,0.8547240387309681,False
beta,4RD,149.0,0.9888126850128174,0.9888126850128174,False
