band,channel,coef,p_value,p_value_corrected,significant
alpha,2LB,-3.088008677433254e-14,0.48146713294834986,0.9962021826234793,False
alpha,3LB,-4.045360888095217e-14,0.20161097890604984,0.9962021826234793,False
alpha,4LB,-1.1026566092611287e-14,0.6962551375398175,0.9962021826234793,False
alpha,5LB,1.3373412137793008e-15,0.9586076461329331,0.9962021826234793,False
alpha,1LC,3.535818704200829e-14,0.7134971414155711,0.9962021826234793,False
alpha,2LC,-4.703353789502897e-14,0.4459220269424028,0.9962021826234793,False
alpha,3LC,-8.516441737207414e-14,0.12163035104700631,0.9962021826234793,False
alpha,4LC,-2.0660740819230952e-14,0.6945671369228699,0.9962021826234793,False
alpha,5LC,-9.347315091779332e-15,0.8542332073622058,0.9962021826234793,False
alpha,1LD,6.17800293997523e-14,0.5991453715052595,0.9962021826234793,False
alpha,2LD,-1.491887534731046e-14,0.8734262193562782,0.9962021826234793,False
alpha,3LD,-6.417384234548627e-14,0.41040487813475834,0.9962021826234793,False
alpha,4LD,-2.0202893510621386e-14,0.7798533375629291,0.9962021826234793,False
alpha,1RA,-1.5603378700629614e-15,0.9636032973592126,0.9962021826234793,False
alpha,2RA,5.8347222754243826e-15,0.8514635092211206,0.9962021826234793,False
alpha,3RA,-3.725928742928604e-14,0.30190378966346376,0.9962021826234793,False
alpha,1RB,-3.946021688256164e-14,0.5284674020037154,0.9962021826234793,False
alpha,2RB,-2.563802002317152e-14,0.6679926888324426,0.9962021826234793,False
alpha,3RB,-7.887362995861995e-15,0.8818552186861874,0.9962021826234793,False
alpha,4RB,1.8141559118005535e-14,0.7301751562711509,0.9962021826234793,False
alpha,5RB,7.0501460079559635e-16,0.9877766818757249,0.9962021826234793,False
alpha,1RC,-5.162345431402478e-15,0.9513125272397215,0.9962021826234793,False
alpha,2RC,-5.24428748585709e-14,0.5011202612142599,0.9962021826234793,False
alpha,3RC,4.692358371616055e-14,0.5484074136166772,0.9962021826234793,False
alpha,4RC,1.7359107856046183e-14,0.8112071804269883,0.9962021826234793,False
alpha,5RC,2.6117401976035328e-14,0.6890234550578005,0.9962021826234793,False
alpha,1RD,-3.310216956601656e-14,0.7577180205036829,0.9962021826234793,False
alpha,2RD,-8.545405052431616e-14,0.40159649091753435,0.9962021826234793,False
alpha,3RD,-2.952224126468256e-14,0.7352060726060106,0.9962021826234793,False
alpha,4RD,-3.35292611111692e-14,0.7486888498473472,0.9962021826234793,False
beta,1Z,-8.996686753726397e-15,0.42402515728164036,0.9962021826234793,False
beta,2Z,-6.284003721039767e-15,0.43928045891115775,0.9962021826234793,False
beta,3Z,1.6979362345359368e-15,0.8165482695819353,0.9962021826234793,False
beta,4Z,-6.4337805970316995e-15,0.1390101867507204,0.9962021826234793,False
beta,6Z,2.6107343293276268e-15,0.4997693608789979,0.9962021826234793,False
beta,7Z,8.140694358007257e-16,0.9454175544898856,0.9962021826234793,False
beta,8Z,-2.984880354859148e-15,0.8860318100650755,0.9962021826234793,False
beta,9Z,-1.016930422099805e-14,0.6741616626668301,0.9962021826234793,False
beta,1L,-1.5668722639548592e-14,0.3579566886478853,0.9962021826234793,False
beta,2L,7.55011554598162e-15,0.653143942659903,0.9962021826234793,False
beta,3L,2.752198753589718e-15,0.7598417527506991,0.9962021826234793,False
beta,4L,3.63910767642292e-15,0.503364819551358,0.9962021826234793,False
beta,5L,6.122066554059442e-15,0.21526087351484458,0.9962021826234793,False
beta,6L,6.505255088730246e-15,0.052710335506425156,0.9962021826234793,False
beta,7L,5.8200632470280205e-15,0.2293156774142785,0.9962021826234793,False
beta,8L,2.1303081629531797e-16,0.9871496597267732,0.9962021826234793,False
beta,9L,-2.1444720843198137e-16,0.9938160616468708,0.9962021826234793,False
beta,10L,-5.034705938680454e-15,0.8916398987985973,0.9962021826234793,False
beta,1R,-9.441395732195648e-15,0.6374930100566238,0.9962021826234793,False
beta,2R,-6.2114866432189454e-15,0.6111482445549808,0.9962021826234793,False
beta,3R,-1.0075618295997998e-15,0.8987289915691654,0.9962021826234793,False
beta,4R,2.3695300318664887e-15,0.7211605892897086,0.9962021826234793,False
beta,5R,4.442257435962877e-15,0.23638785696295483,0.9962021826234793,False
beta,6R,3.293150456233044e-15,0.5163681943330676,0.9962021826234793,False
beta,7R,-1.1388505102763937e-14,0.3898875223978826,0.9962021826234793,False
beta,8R,-9.984492579777621e-15,0.6247774213305064,0.9962021826234793,False
beta,9R,1.6008202026038795e-14,0.6968928964255044,0.9962021826234793,False
beta,10R,2.6835538836892513e-15,0.9689209023465456,0.9962021826234793,False
beta,1LA,7.300857705916537e-15,0.3941159938144091,0.9962021826234793,False
beta,2LA,8.224688804298226e-15,0.33285438200519923,0.9962021826234793,False
beta,3LA,9.017719695877314e-15,0.2391640801524033,0.9962021826234793,False
beta,1LB,2.1914022500651583e-14,0.5121670161666191,0.9962021826234793,False
beta,2LB,2.1733725409861128e-14,0.32769908186863583,0.9962021826234793,False
beta,3LB,-5.39916104062588e-16,0.968770806099111,0.9962021826234793,False
beta,4LB,9.268509882141571e-15,0.4717938974003226,0.9962021826234793,False
beta,5LB,9.483504329297475e-15,0.3748952206839826,0.9962021826234793,False
beta,1LC,2.482563117589365e-14,0.5697672794369883,0.9962021826234793,False
beta,2LC,3.228719204368845e-14,0.35572545434387637,0.9962021826234793,False
beta,3LC,-6.701145139821996e-14,0.21266975051434434,0.9962021826234793,False
beta,4LC,8.998967667058837e-15,0.7520651998591765,0.9962021826234793,False
beta,5LC,1.2455860121076616e-14,0.6347180484445896,0.9962021826234793,False
beta,1LD,3.475548171107897e-14,0.33932948479379643,0.9962021826234793,False
beta,2LD,-5.829132220837065e-16,0.9792099390541782,0.9962021826234793,False
beta,3LD,-4.726666212504708e-14,0.35419596279813503,0.9962021826234793,False
beta,4LD,-6.372156274672622e-15,0.854832977150705,0.9962021826234793,False
beta,1RA,-4.7660761376273895e-17,0.9962021826234793,0.9962021826234793,False
beta,2RA,4.616164271448332e-16,0.9621806122994213,0.9962021826234793,False
beta,3RA,-1.819700044449178e-14,0.16936438591371117,0.9962021826234793,False
beta,1RB,1.0080380954223202e-14,0.8553611531216937,0.9962021826234793,False
beta,2RB,-2.0994928908389847e-15,0.9298167282050189,0.9962021826234793,False
beta,3RB,-4.6139215508667305e-15,0.875481206010861,0.9962021826234793,False
beta,4RB,1.0665429820143492e-14,0.5666105880906699,0.9962021826234793,False
beta,5RB,-8.917991682918096e-15,0.5981987675283507,0.9962021826234793,False
beta,1RC,1.3758263255946471e-14,0.6525631981497767,0.9962021826234793,False
beta,2RC,1.2252234778656011e-15,0.9790284444786348,0.9962021826234793,False
beta,3RC,2.16871478322154e-13,0.24005280043972743,0.9962021826234793,False
beta,4RC,4.3013715907375415e-14,0.3448614332940466,0.9962021826234793,False
beta,5RC,-2.8891973728148846e-15,0.9286957048347988,0.9962021826234793,False
beta,1RD,1.74759471085083e-14,0.6461869020624307,0.9962021826234793,False
beta,2RD,-5.5412783840411077e-14,0.40507167999304516,0.9962021826234793,False
beta,3RD,-1.0524194351353167e-13,0.06064707644998873,0.9962021826234793,False
beta,4RD,2.5865254081777118e-14,0.7702130655957192,0.9962021826234793,False
