band,channel,F_stat,p_value,degrees_of_freedom,effect_size,p_value_corrected,significant
theta,2LA,0.5116490796262401,0.4816245833245183,1,0.00047347567447729693,0.9962431930573746,False
theta,3LA,0.000163557107656638,0.9899064645902792,1,2.3413463786442987e-07,0.9962431930573746,False
theta,1LB,0.9285446661132662,0.34526416438047836,1,0.001648660286124836,0.9962431930573746,False
theta,2LB,0.5752685621126103,0.4558753564750293,1,0.0008585419482032884,0.9962431930573746,False
theta,3LB,1.602150628099467,0.2182706902525388,1,0.0011370093185494336,0.9962431930573746,False
theta,4LB,1.558264271403737,0.22447796794758756,1,0.0013235470812749323,0.9962431930573746,False
theta,5LB,0.4376984228191717,0.5148094090019177,1,0.0013871098606557462,0.9962431930573746,False
theta,1LC,0.2833446180701197,0.5996224750147308,1,0.0012354078458570374,0.9962431930573746,False
theta,2LC,0.41819816553000466,0.5242390894737731,1,0.0008414310908404325,0.9962431930573746,False
theta,3LC,2.8638979997048537,0.10409297974022234,1,0.004202670980907161,0.9962431930573746,False
theta,4LC,3.874188466442655,0.061202546116743875,1,0.004687035912742031,0.9962431930573746,False
theta,5LC,1.99010572989372,0.17171272200997534,1,0.0022558968398665807,0.9962431930573746,False
theta,1LD,0.4082699967168199,0.5291614083565761,1,0.001986599628245287,0.9962431930573746,False
theta,2LD,0.4069701460645067,0.5298121427081179,1,0.0012059759693273438,0.9962431930573746,False
theta,3LD,4.217064627284962,0.051560051500251156,1,0.005983074152869526,0.9962431930573746,False
theta,4LD,1.4760411021015003,0.23672061345512907,1,0.0022996819602552955,0.9962431930573746,False
theta,1RA,0.6126658210797538,0.44177096128762927,1,0.001070261582713139,0.9962431930573746,False
theta,2RA,0.17756092159101441,0.6773897905620287,1,0.00040913600142106373,0.9962431930573746,False
theta,3RA,0.7591677482971793,0.3925933193519119,1,0.00227567049377064,0.9962431930573746,False
theta,1RB,0.5438473364112725,0.46830000242005065,1,0.001296294494107163,0.9962431930573746,False
theta,2RB,0.47931891544365457,0.49566202568711726,1,0.0012962638453853377,0.9962431930573746,False
theta,3RB,0.16339259026392783,0.6897862415828084,1,0.0006190266212241065,0.9962431930573746,False
theta,4RB,0.0226813179595586,0.8816017743898079,1,7.955822708375207e-05,0.9962431930573746,False
theta,5RB,0.2233381512002796,0.6409617646402372,1,0.00021806905211003717,0.9962431930573746,False
theta,1RC,0.0034743047858555,0.9535064643979902,1,1.1524062203943307e-05,0.9962431930573746,False
theta,2RC,1.0642983285718552,0.3129637958918731,1,0.003480440314456788,0.9962431930573746,False
theta,3RC,0.3356213267599158,0.5679991124293464,1,0.0011110965672894197,0.9962431930573746,False
theta,4RC,0.6274577003370134,0.4363836682768093,1,0.0008040433511682585,0.9962431930573746,False
theta,5RC,0.16247693990861511,0.6906087214031508,1,7.105169307754054e-05,0.9962431930573746,False
theta,1RD,0.2241047128769516,0.6403923393880306,1,0.0007317002952163931,0.9962431930573746,False
theta,2RD,2.6104854079462387,0.11979497305014694,1,0.009372834817888006,0.9962431930573746,False
theta,3RD,1.7143763870120756,0.20334864135142558,1,0.0028756934087299335,0.9962431930573746,False
theta,4RD,1.4643670742103856,0.23852698933701819,1,0.0028652751969596886,0.9962431930573746,False
alpha,1Z,0.5244850519325424,0.47623750382860197,1,0.0007947692198161404,0.9962431930573746,False
alpha,2Z,0.1804692722845191,0.6749181161406305,1,0.00019310529585116112,0.9962431930573746,False
alpha,3Z,0.3304118412148346,0.5709971732572583,1,0.0003874194464293892,0.9962431930573746,False
alpha,4Z,2.8501162791684402,0.1048824492795244,1,0.0019446647144333539,0.9962431930573746,False
alpha,6Z,0.4670784061928707,0.5011618423097188,1,0.0010430201919224753,0.9962431930573746,False
alpha,7Z,0.11651879464129664,0.7359401111239303,1,0.00025361215858663234,0.9962431930573746,False
alpha,8Z,0.040492355146691944,0.8422899716066294,1,3.913137948275758e-05,0.9962431930573746,False
alpha,9Z,0.30159838251784193,0.5881748861404846,1,0.00021058878417404595,0.9962431930573746,False
alpha,1L,1.437672119269474,0.24272425229355285,1,0.002640832022642872,0.9962431930573746,False
alpha,2L,0.21924943430799443,0.6440194717545089,1,0.00032328642945233697,0.9962431930573746,False
alpha,3L,0.057341804606006706,0.8128688539984454,1,5.709515476196679e-05,0.9962431930573746,False
alpha,4L,0.5175325455336881,0.47914270389630254,1,0.0006175646495803414,0.9962431930573746,False
alpha,5L,1.0147365733915819,0.32425164071057755,1,0.0012523423784442731,0.9962431930573746,False
alpha,6L,1.8466307169529115,0.18735367328996788,1,0.001513954237912994,0.9962431930573746,False
alpha,7L,0.5931726345022726,0.44903388583270165,1,0.00041320765311023757,0.9962431930573746,False
alpha,8L,0.011079092888903545,0.9170842521325271,1,6.2501957182927674e-06,0.9962431930573746,False
alpha,9L,0.006833806171942337,0.9348316959467009,1,3.989708656649252e-06,0.9962431930573746,False
alpha,10L,0.08893611276412075,0.768211542988853,1,8.249633691872178e-05,0.9962431930573746,False
alpha,1R,0.8240394833856172,0.37341534369529206,1,0.001725323631234056,0.9962431930573746,False
alpha,2R,0.0691622465679766,0.794901998907139,1,0.00012020812457643537,0.9962431930573746,False
alpha,3R,3.127050888929073e-05,0.9955864701741407,1,4.132277068843993e-08,0.9962431930573746,False
alpha,4R,0.20597609513838513,0.6541932856085053,1,0.0001887915397184662,0.9962431930573746,False
alpha,5R,0.8825122737200845,0.3572764071729754,1,0.0012253880347033912,0.9962431930573746,False
alpha,6R,0.5540565813778561,0.4642026868320922,1,0.001218335542623392,0.9962431930573746,False
alpha,7R,0.0030231725511962915,0.9566265328820666,1,6.378685747309904e-06,0.9962431930573746,False
alpha,8R,0.055166935560396306,0.8163831312055955,1,6.506613998638317e-05,0.9962431930573746,False
alpha,9R,0.06664613658740415,0.7985801384216368,1,5.1048288766390665e-05,0.9962431930573746,False
alpha,10R,0.043535372356761665,0.8365572448487711,1,3.679155015181476e-05,0.9962431930573746,False
alpha,1LA,0.01113656783574007,0.9168702889818329,1,1.234493697278435e-05,0.9962431930573746,False
alpha,2LA,0.07021208917038221,0.7933885228847011,1,6.39129104961257e-05,0.9962431930573746,False
alpha,3LA,0.7438333776470134,0.39733949000127156,1,0.0005787645633008521,0.9962431930573746,False
alpha,1LB,0.1679325659849453,0.6857475465067369,1,0.00034897838595359906,0.9962431930573746,False
alpha,2LB,0.4955399444706356,0.4885327890865212,1,0.0007315587954683288,0.9962431930573746,False
alpha,3LB,1.630667069094162,0.2143527230529491,1,0.0012892057423568959,0.9962431930573746,False
alpha,4LB,0.1523977191203314,0.6998466447890787,1,9.344892135793216e-05,0.9962431930573746,False
alpha,5LB,0.0026937189561572527,0.9590556779487291,1,1.6237433201272974e-06,0.9962431930573746,False
alpha,1LC,0.1348146565701743,0.7168481024666618,1,0.0005546480620596491,0.9962431930573746,False
alpha,2LC,0.5810349946892407,0.45365360122278675,1,0.0011690804369340949,0.9962431930573746,False
alpha,3LC,2.396215037077201,0.13528008872936279,1,0.0032432394299167387,0.9962431930573746,False
alpha,4LC,0.1541948564812049,0.6981740583517863,1,0.00014463941304368835,0.9962431930573746,False
alpha,5LC,0.033753017418420204,0.855843244026455,1,2.7435113865168492e-05,0.9962431930573746,False
alpha,1LD,0.27628692195683036,0.6041766313637333,1,0.001007499610414062,0.9962431930573746,False
alpha,2LD,0.02537970289097512,0.8748152815201691,1,5.887711942689195e-05,0.9962431930573746,False
alpha,3LD,0.6776478419870131,0.41885181426116225,1,0.000718930376309973,0.9962431930573746,False
alpha,4LD,0.0781307584777497,0.7823449738987764,1,7.294196116844784e-05,0.9962431930573746,False
alpha,1RA,0.00208231136212409,0.9639971783727491,1,3.7040617686686195e-06,0.9962431930573746,False
alpha,2RA,0.035063390597301305,0.8531049224938742,1,4.5447856129010594e-05,0.9962431930573746,False
alpha,3RA,1.0657951035393578,0.31263132263332244,1,0.0024507329616107703,0.9962431930573746,False
alpha,1RB,0.39734276174880034,0.5346781822097539,1,0.0010145275020959168,0.9962431930573746,False
alpha,2RB,0.18396006407247806,0.671982468935159,1,0.0005245825754726793,0.9962431930573746,False
alpha,3RB,0.02208736387310996,0.8831502765552484,1,6.325696295813906e-05,0.9962431930573746,False
alpha,4RB,0.1189514423002297,0.7333085462180811,1,0.00016675727851708167,0.9962431930573746,False
alpha,5RB,0.00023471554090785662,0.9879086679301149,1,2.6147069310524797e-07,0.9962431930573746,False
alpha,1RC,0.003728160127400009,0.9518399717927966,1,1.2148797598539574e-05,0.9962431930573746,False
alpha,2RC,0.45256343022268297,0.5078233032313159,1,0.0015997424610530047,0.9962431930573746,False
alpha,3RC,0.36017892149027647,0.5542746131433154,1,0.0011049506165884816,0.9962431930573746,False
alpha,4RC,0.057059262892760976,0.8133213647966306,1,6.758669088048424e-05,0.9962431930573746,False
alpha,5RC,0.1601451665338551,0.6927155285182429,1,0.00010148391503595386,0.9962431930573746,False
alpha,1RD,0.09515925910488886,0.7604945973463102,1,0.0003266669474690654,0.9962431930573746,False
alpha,2RD,0.7035412773005606,0.41022951848784583,1,0.0024560875824350768,0.9962431930573746,False
alpha,3RD,0.11438589577746723,0.738272871559015,1,0.0001495615515562367,0.9962431930573746,False
alpha,4RD,0.10263615618316257,0.7515812375510702,1,0.00018931745737142203,0.9962431930573746,False
beta,1Z,0.6391858834471731,0.4321855599922806,1,0.00023449383507870506,0.9962431930573746,False
beta,2Z,0.5981743694702196,0.4471521681870294,1,0.00012330066488693158,0.9962431930573746,False
beta,3Z,0.053818319640138446,0.8185992151493607,1,1.2975230781855727e-05,0.9962431930573746,False
beta,4Z,2.1888952978689926,0.1525764616302247,1,0.0012871091191238159,0.9962431930573746,False
beta,6Z,0.45542777961395,0.5064964471057378,1,0.0006647660253421016,0.9962431930573746,False
beta,7Z,0.004687206410297738,0.9460086598499662,1,5.208850078055789e-06,0.9962431930573746,False
beta,8Z,0.020543486841054972,0.8872779123651823,1,2.078836844877615e-05,0.9962431930573746,False
beta,9Z,0.17677266399968058,0.6780638188770511,1,0.00014198044758042535,0.9962431930573746,False
beta,1L,0.8450495880500114,0.36749752337161024,1,0.0007042419766188774,0.9962431930573746,False
beta,2L,0.2019595267024125,0.6573501678292111,1,0.00015674125955738956,0.9962431930573746,False
beta,3L,0.09344607657069016,0.7625907030830662,1,2.367656447629754e-05,0.9962431930573746,False
beta,4L,0.4478368613990654,0.5100262884612714,1,0.00012053622349077564,0.9962431930573746,False
beta,5L,1.5356892972518226,0.22775773050104667,1,0.0011365960883652241,0.9962431930573746,False
beta,6L,3.7532977479424594,0.06507918147783556,1,0.001480650815950642,0.9962431930573746,False
beta,7L,1.4451070401189818,0.24154583015784123,1,0.0003844981309304918,0.9962431930573746,False
beta,8L,0.0002594176727798083,0.9872883730396157,1,1.1672023679420293e-07,0.9962431930573746,False
beta,9L,6.0071836774137815e-05,0.9938828113835905,1,6.46340513628805e-08,0.9962431930573746,False
beta,10L,0.01855852551240086,0.8928250923123814,1,2.7234688808601876e-05,0.9962431930573746,False
beta,1R,0.22205202048147832,0.6419198492765557,1,0.0002011082778741398,0.9962431930573746,False
beta,2R,0.2585164642151917,0.6159836299284605,1,0.00011018626547972396,0.9962431930573746,False
beta,3R,0.016196951332003624,0.8998350266563377,1,4.736468825278308e-06,0.9962431930573746,False
beta,4R,0.12739170516154633,0.7244057494080831,1,4.922084372714898e-05,0.9962431930573746,False
beta,5R,1.4020210137111104,0.2484784482507177,1,0.0007599966560377045,0.9962431930573746,False
beta,6R,0.4211539237225981,0.5227897600382858,1,0.00044591815902925267,0.9962431930573746,False
beta,7R,0.7392939270147025,0.3987609777143183,1,0.001197838457981349,0.9962431930573746,False
beta,8R,0.23921119574175118,0.6294080889897151,1,0.0003267562243014252,0.9962431930573746,False
beta,9R,0.15172447557515986,0.7004761690993964,1,0.0002730931767294884,0.9962431930573746,False
beta,10R,0.0015180841248386332,0.9692564349782804,1,3.2546719733350954e-06,0.9962431930573746,False
beta,1LA,0.7262065802140243,0.40290220541162425,1,0.0002158631902568711,0.9962431930573746,False
beta,2LA,0.937763451052304,0.342927343999191,1,0.00026325079892338576,0.9962431930573746,False
beta,3LA,1.3856118330422023,0.2511858765340526,1,0.0005267975975175355,0.9962431930573746,False
beta,1LB,0.4296377978290656,0.5186698602913695,1,0.0007080012616014005,0.9962431930573746,False
beta,2LB,0.9579708064773252,0.3378822327741221,1,0.0006780894106348396,0.9962431930573746,False
beta,3LB,0.0015327622052696836,0.9691082443708547,1,3.059788893290137e-07,0.9962431930573746,False
beta,4LB,0.5178156805565663,0.47902381044093256,1,0.00018913095024793923,0.9962431930573746,False
beta,5LB,0.7874253264720722,0.38406535160922195,1,0.00030464536133286595,0.9962431930573746,False
beta,1LC,0.32307243221692716,0.5752751961801852,1,0.001074627953805871,0.9962431930573746,False
beta,2LC,0.8529351593899519,0.36531143361045526,1,0.002277145490065036,0.9962431930573746,False
beta,3LC,1.5531717410082488,0.22521258659162738,1,0.0020083780303553206,0.9962431930573746,False
beta,4LC,0.09980390893236124,0.7549140842003907,1,7.601258054020543e-05,0.9962431930573746,False
beta,5LC,0.2257174712146118,0.6391982387060402,1,0.0001507273173166185,0.9962431930573746,False
beta,1LD,0.9129699545571783,0.3492634349454705,1,0.0024799462208588397,0.9962431930573746,False
beta,2LD,0.000679129613368353,0.97943418163247,1,6.525191230420926e-07,0.9962431930573746,False
beta,3LD,0.8583707443625306,0.36381544680246247,1,0.001238497288134037,0.9962431930573746,False
beta,4LD,0.0334739220530125,0.8564335497645551,1,3.433320394567133e-05,0.9962431930573746,False
beta,1RA,2.2656836554514024e-05,0.9962431930573746,1,1.1115263825275707e-08,0.9962431930573746,False
beta,2RA,0.0022484526560254386,0.9625895412350997,1,1.0702391827985695e-06,0.9962431930573746,False
beta,3RA,1.8885751774391888,0.18260717491860087,1,0.0024682301431993743,0.9962431930573746,False
beta,1RB,0.03322798403243887,0.8569558398665812,1,7.421835686177429e-05,0.9962431930573746,False
beta,2RB,0.007757687201430247,0.9305772957885747,1,7.465317810944972e-06,0.9962431930573746,False
beta,3RB,0.024554953848175888,0.8768485165026991,1,4.076439317036072e-05,0.9962431930573746,False
beta,4RB,0.3283894076847518,0.5721696242877101,1,0.00018455193306879966,0.9962431930573746,False
beta,5RB,0.2777218827775061,0.6032446717832713,1,0.00018499864060930802,0.9962431930573746,False
beta,1RC,0.20268585590209975,0.6567765021757881,1,0.0002562491884649144,0.9962431930573746,False
beta,2RC,0.0006910172634030713,0.9792550108190701,1,1.6917454548097336e-06,0.9962431930573746,False
beta,3RC,1.3802766311634784,0.25207434146369584,1,0.016018970370711334,0.9962431930573746,False
beta,4RC,0.8922806169597888,0.3546782564313169,1,0.0012180757624073867,0.9962431930573746,False
beta,5RC,0.008008385753842722,0.9294675489409958,1,7.105035256932222e-06,0.9962431930573746,False
beta,1RD,0.21074698749832163,0.6504916786011727,1,0.000488139240778511,0.9962431930573746,False
beta,2RD,0.6932216125219459,0.41363301181394074,1,0.005515087536126072,0.9962431930573746,False
beta,3RD,3.519687871493147,0.0733919529318353,1,0.0038400105453523653,0.9962431930573746,False
beta,4RD,0.08532082402612648,0.7728308173099907,1,0.00011275537457665232,0.9962431930573746,False
