participant,classifier,band,mean_accuracy,std_accuracy
8,LogisticRegression,beta,0.8468571428571428,0.008398250546685198
8,SVM,beta,0.8457142857142858,0.013030576286847272
8,LDA,beta,0.8502857142857142,0.009142857142857156
8,KNN,beta,0.784,0.009831228876620154
8,RandomForest,beta,0.7988571428571428,0.022101805263787105
9,LogisticRegression,theta,0.7786516853932584,0.032680987802806705
9,SVM,theta,0.7561797752808989,0.012612328270024502
9,LDA,theta,0.7685393258426966,0.036477939507298704
9,KNN,theta,0.6595505617977528,0.03510224573441193
9,RandomForest,theta,0.7213483146067416,0.023728889979711083
9,LogisticRegression,alpha,0.7898876404494382,0.017622906900402385
9,SVM,alpha,0.7539325842696629,0.03665057624786535
9,LDA,alpha,0.7842696629213484,0.025023660057663002
9,KNN,alpha,0.6449438202247191,0.026446297294246773
9,RandomForest,alpha,0.7168539325842697,0.04788151854530902
9,LogisticRegression,beta,0.8516853932584268,0.022075149106054483
9,SVM,beta,0.844943820224719,0.028778086460372342
9,LDA,beta,0.8348314606741573,0.01762290690040238
9,KNN,beta,0.7539325842696629,0.013483146067415724
9,RandomForest,beta,0.8123595505617978,0.013103262685045617
10,LogisticRegression,theta,0.7340206185567011,0.061303376277602066
10,SVM,theta,0.7690721649484535,0.04402918866817035
10,LDA,theta,0.7195876288659793,0.0393376990275029
10,KNN,theta,0.7381443298969071,0.0472880203759988
10,RandomForest,theta,0.7690721649484535,0.03099648737808847
10,LogisticRegression,alpha,0.8536082474226804,0.032207215158377954
10,SVM,alpha,0.8577319587628865,0.030859029994011865
10,LDA,alpha,0.8309278350515464,0.03722777337168618
10,KNN,alpha,0.7546391752577319,0.02796837106443407
10,RandomForest,alpha,0.8123711340206186,0.03286057206290562
10,LogisticRegression,beta,0.9402061855670103,0.01999043240171683
10,SVM,beta,0.9628865979381442,0.01051344229606759
10,LDA,beta,0.9216494845360825,0.02959319607094294
10,KNN,beta,0.9505154639175257,0.010100988630033728
10,RandomForest,beta,0.9381443298969072,0.02258649721670788
11,LogisticRegression,theta,0.7386138613861387,0.05691131827009864
11,SVM,theta,0.7168316831683168,0.05408514963860462
11,LDA,theta,0.7425742574257426,0.03860116572201573
11,KNN,theta,0.6594059405940593,0.050329762483718156
11,RandomForest,theta,0.7366336633663366,0.014818445096134435
11,LogisticRegression,alpha,0.7940594059405941,0.07550762758391134
11,SVM,alpha,0.7584158415841584,0.07607672361306353
11,LDA,alpha,0.7861386138613862,0.05759619632573853
11,KNN,alpha,0.6772277227722773,0.04914722236035983
11,RandomForest,alpha,0.7405940594059406,0.08340372153921856
11,LogisticRegression,beta,0.8831683168316833,0.028967799679857045
11,SVM,beta,0.8871287128712873,0.026270295369151705
11,LDA,beta,0.8613861386138615,0.030031189877431873
11,KNN,beta,0.7960396039603961,0.03940544305372753
11,RandomForest,beta,0.8712871287128714,0.02504774384291788
12,LogisticRegression,theta,0.7712506420133538,0.03371979185495616
12,SVM,theta,0.7746468926553672,0.026035508892080887
12,LDA,theta,0.7780110426296867,0.03314717868268664
12,KNN,theta,0.6964625064201335,0.02764572718367469
12,RandomForest,theta,0.7610875706214689,0.02017548390429745
12,LogisticRegression,alpha,0.754275808936826,0.03307796725671044
12,SVM,alpha,0.7598613251155624,0.025898689783155484
12,LDA,alpha,0.7610618900873138,0.032134956006943126
12,KNN,alpha,0.7021250642013354,0.026234519650672493
12,RandomForest,alpha,0.7553287108371853,0.0304403710876312
12,LogisticRegression,beta,0.8561633281972266,0.023755868309338943
12,SVM,beta,0.8708782742681048,0.013266139905704593
12,LDA,beta,0.8323510529019004,0.024214098577722085
12,KNN,beta,0.8403505392912173,0.02415581194845642
12,RandomForest,beta,0.8731317411402157,0.01196989779518883
15,LogisticRegression,theta,0.7766990291262136,0.02746045752180766
15,SVM,theta,0.7922330097087379,0.03166894452485453
15,LDA,theta,0.7631067961165049,0.0257601925464497
15,KNN,theta,0.7106796116504854,0.03950871834830252
15,RandomForest,theta,0.7398058252427184,0.02704541413045459
15,LogisticRegression,alpha,0.7844660194174757,0.03440785465372688
15,SVM,alpha,0.7631067961165049,0.03340708841569951
15,LDA,alpha,0.7728155339805826,0.0257601925464497
15,KNN,alpha,0.7087378640776699,0.022139328642701697
15,RandomForest,alpha,0.741747572815534,0.0328379311170636
15,LogisticRegression,beta,0.8563106796116504,0.038542588818017906
15,SVM,beta,0.8932038834951456,0.01624582575794325
15,LDA,beta,0.8524271844660195,0.03704618257929889
15,KNN,beta,0.8679611650485437,0.028537744576114722
15,RandomForest,beta,0.887378640776699,0.025017667430534265
18,LogisticRegression,theta,0.6160093167701863,0.048806700676255386
18,SVM,theta,0.6034627329192547,0.02947766147019335
18,LDA,theta,0.6197515527950311,0.03574404141210176
18,KNN,theta,0.5236956521739131,0.022400401749388513
18,RandomForest,theta,0.5809549689440994,0.033730166297772195
18,LogisticRegression,alpha,0.6446816770186335,0.018848015164196933
18,SVM,alpha,0.6196739130434783,0.03401262205942491
18,LDA,alpha,0.6396894409937889,0.02852655637841698
18,KNN,alpha,0.556024844720497,0.03253646984997319
18,RandomForest,alpha,0.6083385093167702,0.052940208458752656
18,LogisticRegression,beta,0.8977562111801243,0.008439066000457119
18,SVM,beta,0.9027329192546585,0.026927975357130495
18,LDA,beta,0.89652950310559,0.014886551291659432
18,KNN,beta,0.779277950310559,0.017323069333828586
18,RandomForest,beta,0.8528260869565217,0.026861047184906214
19,LogisticRegression,theta,0.8087665841427029,0.023357110457783894
19,SVM,theta,0.8110328191455596,0.032238343658069595
19,LDA,theta,0.7896337205611629,0.026874374941826096
19,KNN,theta,0.7558750714149685,0.031953775014488935
19,RandomForest,theta,0.8031803466006476,0.01595506936372202
