band,channel,statistic,p_value,p_value_corrected,significant
theta,1LD,113.0,0.30289924144744873,0.9876878327065771,False
theta,2LD,134.0,0.6634435653686523,0.9876878327065771,False
theta,3LD,73.0,0.026927709579467773,0.9876878327065771,False
theta,4LD,75.0,0.03148162364959717,0.9876878327065771,False
theta,1RA,123.0,0.45587432384490967,0.9876878327065771,False
theta,2RA,141.0,0.8115357160568237,0.9876878327065771,False
theta,3RA,107.0,0.22918963432312012,0.9876878327065771,False
theta,1RB,130.0,0.5838061571121216,0.9876878327065771,False
theta,2RB,117.0,0.35962629318237305,0.9876878327065771,False
theta,3RB,144.0,0.8774070739746094,0.9876878327065771,False
theta,4RB,135.0,0.6839864253997803,0.9876878327065771,False
theta,5RB,122.0,0.4389305114746094,0.9876878327065771,False
theta,1RC,140.0,0.7898378372192383,0.9876878327065771,False
theta,2RC,115.0,0.3305051326751709,0.9876878327065771,False
theta,3RC,127.0,0.5270590782165527,0.9876878327065771,False
theta,4RC,106.0,0.21821892261505127,0.9876878327065771,False
theta,5RC,130.0,0.5838061571121216,0.9876878327065771,False
theta,1RD,119.0,0.3902466297149658,0.9876878327065771,False
theta,2RD,90.0,0.08937323093414307,0.9876878327065771,False
theta,3RD,104.0,0.19737839698791504,0.9876878327065771,False
theta,4RD,107.0,0.22918963432312012,0.9876878327065771,False
alpha,1Z,129.0,0.5645889043807983,0.9876878327065771,False
alpha,2Z,132.0,0.6230943202972412,0.9876878327065771,False
alpha,3Z,131.0,0.6033114194869995,0.9876878327065771,False
alpha,4Z,94.0,0.11396121978759766,0.9876878327065771,False
alpha,6Z,105.0,0.20761656761169434,0.9876878327065771,False
alpha,7Z,144.0,0.8774070739746094,0.9876878327065771,False
alpha,8Z,129.0,0.5645889043807983,0.9876878327065771,False
alpha,9Z,117.0,0.35962629318237305,0.9876878327065771,False
alpha,1L,122.0,0.4389305114746094,0.9876878327065771,False
alpha,2L,148.0,0.9664472341537476,0.9876878327065771,False
alpha,3L,142.0,0.8333734273910522,0.9876878327065771,False
alpha,4L,136.0,0.704756498336792,0.9876878327065771,False
alpha,5L,115.0,0.3305051326751709,0.9876878327065771,False
alpha,6L,87.0,0.07379257678985596,0.9876878327065771,False
alpha,7L,133.0,0.6431422233581543,0.9876878327065771,False
alpha,8L,147.0,0.944107174873352,0.9876878327065771,False
alpha,9L,133.0,0.6431422233581543,0.9876878327065771,False
alpha,10L,126.0,0.5087660551071167,0.9876878327065771,False
alpha,1R,130.0,0.5838061571121216,0.9876878327065771,False
alpha,2R,146.0,0.9218088388442993,0.9876878327065771,False
alpha,3R,145.0,0.899570107460022,0.9876878327065771,False
alpha,4R,141.0,0.8115357160568237,0.9876878327065771,False
alpha,5R,110.0,0.26434290409088135,0.9876878327065771,False
alpha,6R,145.0,0.899570107460022,0.9876878327065771,False
alpha,7R,142.0,0.8333734273910522,0.9876878327065771,False
alpha,8R,148.0,0.9664472341537476,0.9876878327065771,False
alpha,9R,146.0,0.9218088388442993,0.9876878327065771,False
